id,name,website,address,municipality,county,lat,long,phone_number,rating,place_id
lintrasc7948,"Linderud traffic schools",linderudtrafikkskole.no/,"Linderudveien 2, 0594 Oslo","Oslo kommune",Oslo,59.94122869999999,10.8392326,"23 37 22 22",3,ChIJeXrcWNtvQUYR4ImUJuvBvz0
liptraas4333,"Lippert Trafikkskole AS",lippert.no/,"Mattias Skytters vei 2, 1482 Nittedal",Nittedal,Viken,60.04671980000001,10.881639,,,ChIJJ0v20jN3QUYRZCq27m39IQM
loetraas4799,"Lørenskog trafikkskole AS",lorenskogtrafikkskole.no/,"Rastastubben 3, 1476 Rasta",Lørenskog,Viken,59.9234533,10.9368958,"454 17 671",,ChIJY70AsDN7QUYRHfFqf0g7s_0
majtraas8593,"Majorstuen Trafikkskole AS",majorstuen-trafikkskole.no/,"Majorstuveien 31C, 0367 Oslo","Oslo kommune",Oslo,59.9271258,10.7163306,"400 55 070",4.3,ChIJLw-Xb9ptQUYRsIHV0Rz_7bw
makjmaoe1254,"Martins Kjøreskole Martin Øyvind Arntzen",martinskjoreskole.no/,"Vestveien 51, 1450 Nesoddtangen",Nesodden,Viken,59.8559266,10.660833,"66 91 26 00",5,ChIJ0xUAs-xrQUYRdzwydwVAmZk
maritraf3899,"Marianne trafikkskole",mariannetrafikkskole.no/,"Strøket 9, 1383 Asker",Asker,Viken,59.83574350000001,10.4338053,"66 78 78 78",5,ChIJS4Cx4LYVQUYRrUGlCJM2vXQ
marttraf7959,"Martinsen Trafikkskole",martinsentrafikkskole.no/,"Fremskridt 4, 1605 Fredrikstad",Fredrikstad,Viken,59.21960230000001,10.9435868,"69 31 10 34",3.4,ChIJJZDd6CADREYRO3ncshbdlE0
metrasde7529,"Metro Trafikkskole AS dept Lørenskog",metrotrafikkskole.no/,"Bibliotekgata 30, 1473 Lørenskog",Lørenskog,Viken,59.9276,10.9606355,"67 97 57 01",4,ChIJ4ddcSdhkQUYRDrPl4nTBzBc
metrasde8682,"Metro Trafikkskole AS dept Grefsen",metrotrafikkskole.no/,"Lettvintveien 39, 0487 Oslo","Oslo kommune",Oslo,59.9458132,10.7854732,"67 97 57 01",4,ChIJ3RCsmSRuQUYRl0nW0Ki1T8A
metravgr8661,"Metro Trafikkskole avd. Grorud",metrotrafikkskole.no/,"Grorud Senter, Bergensveien 2, 0953 Oslo","Oslo kommune",Oslo,59.960187,10.882042,"908 84 032",4.7,ChIJtT6dVhxwQUYRpfDWpXRJ3q4
modtraas1359,"Modum Trafikkskole AS",modumtrafikkskole.no/,"Lilleåsgata 2, 3340 Åmot",Modum,Viken,59.8926629,9.926029899999998,"32 78 11 13",5,ChIJK957y7fhQEYRb57Rtn8rl60
mortraas4883,"Morgendagens trafikkskole A/S",morgendagenstrafikkskole.no/,"Kongsskogen 7, 1385 Asker",Asker,Viken,59.8204369,10.3830857,"419 04 086",5,ChIJS8i-ffQVQUYRtzqUvzQfUhg
